,GesamtEnergie
 20220509_16_09_32.wav,7.90524063631892e-06
 20220509_16_09_47.wav,6.283695984166116e-05
 20220509_16_10_04.wav,1.7939179087989032e-05
 20220509_16_10_08.wav,6.137077434686944e-05
 20220509_16_12_41.wav,5.037181108491495e-05
 20220509_16_12_44.wav,4.1833132854662836e-05
 20220509_16_12_47.wav,6.356128869811073e-05
 20220509_16_12_50.wav,2.5000515961437486e-05
 20220509_16_12_53.wav,1.754372351570055e-05
 20220509_16_12_56.wav,1.813727430999279e-05
 20220509_16_12_59.wav,1.7854014004115015e-05
 20220509_16_13_02.wav,2.6764859285322018e-05
 20220509_16_13_05.wav,4.8311398131772876e-05
 20220509_16_13_08.wav,7.205643487395719e-05
 20220509_16_13_11.wav,3.548176391632296e-05
 20220509_16_13_14.wav,6.070076778996736e-05
 20220509_16_13_17.wav,7.606711733387783e-05
 20220509_16_13_20.wav,2.2746115064364858e-05
 20220509_16_13_23.wav,2.008365117944777e-05
 20220509_16_13_26.wav,1.3194387065595947e-05
 20220509_16_13_30.wav,2.5124145395238884e-05
 20220509_16_13_33.wav,1.2975693607586434e-05
 20220509_16_13_36.wav,1.3587698049377648e-05
 20220509_16_13_39.wav,5.074869477539323e-05
 20220509_16_13_42.wav,3.328704769955948e-05
 20220509_16_13_45.wav,2.89061226794729e-05
 20220509_16_13_48.wav,4.810490281670354e-05
 20220509_16_13_51.wav,2.172857421101071e-05
 20220509_16_13_54.wav,1.1240455023653338e-05
 20220509_16_13_57.wav,9.770819815457797e-06
 20220509_16_14_00.wav,1.592896478541661e-05
 20220509_16_14_03.wav,2.7198002499062568e-05
 20220509_16_14_06.wav,3.236126940464601e-05
 20220509_16_14_12.wav,6.356887024594471e-05
 20220509_16_14_15.wav,2.5704594008857384e-05
 20220509_16_14_18.wav,7.006459782132879e-05
 20220509_16_14_21.wav,4.020161577500403e-05
 20220509_16_14_24.wav,1.947574673977215e-05
 20220509_16_15_50.wav,1.999249252548907e-05
 20220509_16_15_53.wav,1.9497198081808165e-05
 20220509_16_15_56.wav,9.956488611351233e-06
 20220509_16_15_59.wav,1.1939557225559838e-05
 20220509_16_16_02.wav,1.5990064639481716e-05
 20220509_16_16_06.wav,2.6650890504242852e-05
 20220509_16_16_09.wav,5.4974349041003734e-05
 20220509_16_16_12.wav,4.423926293384284e-05
 20220509_16_16_15.wav,4.370893657323904e-05
 20220509_16_16_18.wav,6.161996134323999e-05
 20220509_16_16_21.wav,3.232476592529565e-05
 20220509_16_16_24.wav,1.3033542018092703e-05
 20220509_16_16_27.wav,1.4180890502757391e-05
 20220509_16_16_30.wav,8.22096990304999e-06
 20220509_16_16_33.wav,1.7712007320369594e-05
 20220509_16_16_39.wav,4.6562428906327114e-05
 20220509_16_16_42.wav,3.312974877189845e-05
 20220509_16_16_45.wav,3.266376006649807e-05
 20220509_16_16_48.wav,6.656692130491138e-05
 20220509_16_16_51.wav,1.6219533790717833e-05
 20220509_16_16_54.wav,1.3968902749184052e-05
 20220509_16_16_57.wav,4.8058394895633676e-05
 20220509_16_17_00.wav,1.5163139323703943e-05
 20220509_16_17_03.wav,2.277662315464113e-05
 20220509_16_17_06.wav,2.4799419406917877e-05
 20220509_16_17_09.wav,4.1837698518065736e-05
 20220509_16_17_12.wav,2.61276145465672e-05
 20220509_16_17_15.wav,3.4120064810849726e-05
 20220509_16_17_18.wav,7.22268596291542e-05
 20220509_16_17_21.wav,1.8935874322778545e-05
 20220509_16_17_24.wav,1.7558078980073333e-05
 20220509_16_17_27.wav,4.910419738735072e-05
 20220509_16_17_30.wav,1.2559210517792962e-05
 20220509_16_17_33.wav,1.2465237887226975e-05
 20220509_16_17_49.wav,4.1130853787763044e-05
 20220509_16_17_53.wav,2.623325963213574e-05
 20220509_16_17_56.wav,1.10570917968289e-05
 20220509_16_17_59.wav,4.5446548028849065e-05
 20220509_16_18_02.wav,1.956449523277115e-05
 20220509_16_18_05.wav,2.4347771613975056e-05
 20220509_16_18_08.wav,5.195284393266775e-05
 20220509_16_18_11.wav,7.001183257671072e-05
 20220509_16_18_14.wav,5.049555329605937e-05
 20220509_16_18_17.wav,3.319717507110908e-05
 20220509_16_18_20.wav,3.295154601801187e-05
 20220509_16_18_23.wav,2.0598003175109625e-05
 20220509_16_18_26.wav,2.1171603293623775e-05
 20220509_16_18_29.wav,3.44529835274443e-05
 20220509_16_18_32.wav,1.4475742318609262e-05
 20220509_16_18_35.wav,2.0446957933017984e-05
 20220509_16_18_38.wav,4.839691973756999e-05
 20220509_16_18_41.wav,3.267482316005044e-05
 20220509_16_18_44.wav,3.0789415177423514e-05
 20220509_16_18_47.wav,2.923204738181084e-05
 20220509_16_18_50.wav,3.347716119606048e-05
 20220509_16_18_53.wav,1.406895535183139e-05
 20220509_16_18_56.wav,1.4466222637565805e-05
 20220509_16_18_59.wav,5.352601147023961e-05
 20220509_16_19_02.wav,2.054032484011259e-05
 20220509_16_19_05.wav,5.5036965932231396e-05
 20220509_16_19_08.wav,5.704760042135603e-05
 20220509_16_19_11.wav,3.094836210948416e-05
 20220509_16_19_14.wav,5.565731044043787e-05
 20220509_16_19_17.wav,4.878852632828057e-05
 20220509_16_19_20.wav,2.363631756452378e-05
 20220509_16_19_23.wav,4.128857108298689e-05
 20220509_16_19_26.wav,1.8539200027589686e-05
 20220509_16_19_29.wav,7.261764403665438e-05
 20220509_16_19_32.wav,1.3550376024795694e-05
 20220509_16_19_35.wav,1.229951794812223e-05
 20220509_16_19_51.wav,1.9171566236764193e-05
 20220509_16_19_54.wav,1.3397690054262057e-05
 20220509_16_19_57.wav,2.3024420443107374e-05
 20220509_16_20_00.wav,1.5065421393956058e-05
 20220509_16_20_06.wav,2.1697273041354492e-05
 20220509_16_20_09.wav,5.795155811938457e-05
 20220509_16_20_12.wav,3.601653588702902e-05
 20220509_16_20_15.wav,1.9271225028205663e-05
 20220509_16_20_18.wav,4.617930608219467e-05
 20220509_16_20_21.wav,2.8307600587140772e-05
 20220509_16_20_24.wav,1.7884925910038874e-05
 20220509_16_20_27.wav,3.6631136026699096e-05
 20220509_16_20_30.wav,1.1584213098103646e-05
 20220509_16_20_33.wav,1.6942394722718745e-05
 20220509_16_20_36.wav,1.575637361383997e-05
 20220509_16_20_39.wav,2.5847519282251596e-05
 20220509_16_20_42.wav,2.5067758542718366e-05
 20220509_16_20_45.wav,2.9686800189665515e-05
 20220509_16_20_48.wav,3.6823155824095004e-05
 20220509_16_20_51.wav,1.235117088072002e-05
 20220509_16_20_54.wav,1.556432107463479e-05
 20220509_16_20_57.wav,4.245115633239038e-05
 20220509_16_21_00.wav,1.7441994714317843e-05
 20220509_16_21_03.wav,2.0551391571643762e-05
 20220509_16_21_06.wav,2.468773163855076e-05
 20220509_16_21_09.wav,3.4277283702977e-05
 20220509_16_21_12.wav,5.238207086222246e-05
 20220509_16_21_16.wav,3.8782098272349685e-05
 20220509_16_21_19.wav,6.694089097436517e-05
 20220509_16_21_22.wav,2.892114207497798e-05
 20220509_16_21_25.wav,2.4250093701994047e-05
 20220509_16_21_28.wav,6.126534572103992e-05
 20220509_16_21_31.wav,1.3061370736977551e-05
 20220509_16_21_34.wav,1.3682489225175232e-05
 20220509_16_21_50.wav,2.5461007680860348e-05
 20220509_16_21_53.wav,1.9024872017325833e-05
 20220509_16_21_56.wav,1.79853832378285e-05
 20220509_16_21_59.wav,1.2577201232488733e-05
 20220509_16_22_02.wav,1.572572364239022e-05
 20220509_16_22_05.wav,2.2229127353057265e-05
 20220509_16_22_08.wav,4.235179221723229e-05
 20220509_16_22_11.wav,2.9015309337410145e-05
 20220509_16_22_14.wav,3.2093717891257256e-05
 20220509_16_22_17.wav,4.660688864532858e-05
 20220509_16_22_20.wav,2.347977897443343e-05
 20220509_16_22_23.wav,1.540067751193419e-05
 20220509_16_22_27.wav,1.8114444173988886e-05
 20220509_16_22_30.wav,1.0687562280509155e-05
 20220509_16_22_33.wav,1.7029145965352654e-05
 20220509_16_22_36.wav,2.1060011931695044e-05
 20220509_16_22_39.wav,4.9859540013130754e-05
 20220509_16_22_42.wav,2.566490729805082e-05
 20220509_16_22_45.wav,2.8625554477912377e-05
 20220509_16_22_48.wav,3.134727739961818e-05
 20220509_16_22_51.wav,2.2242427803575993e-05
 20220509_16_22_55.wav,1.5527881259913556e-05
 20220509_16_22_58.wav,7.009186083450915e-05
 20220509_16_23_01.wav,2.1139305317774415e-05
 20220509_16_23_04.wav,2.614569166325964e-05
 20220509_16_23_07.wav,2.261912595713511e-05
 20220509_16_23_10.wav,3.904533514287323e-05
 20220509_16_23_13.wav,2.282265450048726e-05
 20220509_16_23_16.wav,4.205255754641257e-05
 20220509_16_23_19.wav,4.6820587158435956e-05
 20220509_16_23_22.wav,1.373948725813534e-05
 20220509_16_23_25.wav,2.5607019779272377e-05
 20220509_16_23_28.wav,4.5626151404576376e-05
 20220509_16_23_31.wav,1.4976399143051822e-05
 20220509_16_23_34.wav,1.2331011021160519e-05
 20220509_16_23_54.wav,1.2379245163174346e-05
 20220509_16_23_58.wav,5.1070746849291027e-05
 20220509_16_24_01.wav,2.8669446692219935e-05
 20220509_16_24_04.wav,2.908213718910702e-05
 20220509_16_24_07.wav,4.585510760080069e-05
 20220509_16_24_10.wav,5.3683754231315106e-05
 20220509_16_24_14.wav,5.339744529919699e-05
 20220509_16_24_17.wav,3.0010314731043763e-05
 20220509_16_24_20.wav,3.888497667503543e-05
 20220509_16_24_23.wav,2.804300311254337e-05
 20220509_16_24_26.wav,2.5779521820368245e-05
 20220509_16_24_29.wav,4.4051157601643354e-05
 20220509_16_24_32.wav,2.096905154758133e-05
 20220509_16_24_35.wav,2.130803477484733e-05
 20220509_16_24_38.wav,4.7344263293780386e-05
 20220509_16_24_41.wav,4.0760649426374584e-05
 20220509_16_24_44.wav,2.8630860470002514e-05
 20220509_16_24_47.wav,3.458401988609693e-05
 20220509_16_24_51.wav,1.309424806095194e-05
 20220509_16_24_54.wav,2.4440059860353358e-05
 20220509_16_24_57.wav,8.316268940689042e-05
 20220509_16_25_00.wav,3.071732135140337e-05
 20220509_16_25_04.wav,2.012120239669457e-05
 20220509_16_25_07.wav,5.460362444864586e-05
 20220509_16_25_10.wav,5.2453731768764555e-05
 20220509_16_25_13.wav,6.361141277011484e-05
 20220509_16_25_16.wav,5.251598486211151e-05
 20220509_16_25_19.wav,4.740859003504738e-05
 20220509_16_25_22.wav,2.4484150344505906e-05
 20220509_16_25_25.wav,2.7552374376682568e-05
 20220509_16_25_29.wav,2.600638981675729e-05
 20220509_16_25_32.wav,1.4023372386873232e-05
 20220509_16_25_37.wav,4.963158426107839e-05
 20220509_16_25_56.wav,1.315289773629047e-05
 20220509_16_25_59.wav,1.3823347217112314e-05
 20220509_16_26_02.wav,1.8382022972218692e-05
 20220509_16_26_05.wav,2.9364402507781054e-05
 20220509_16_26_08.wav,3.522306724335067e-05
 20220509_16_26_11.wav,3.4050208341795944e-05
 20220509_16_26_14.wav,4.279022687114775e-05
 20220509_16_26_17.wav,4.069604983669706e-05
 20220509_16_26_22.wav,3.676640335470438e-05
 20220509_16_26_25.wav,2.7864047297043726e-05
 20220509_16_26_29.wav,1.2637920917768497e-05
 20220509_16_26_33.wav,1.741337837302126e-05
 20220509_16_26_36.wav,2.0000206859549507e-05
 20220509_16_26_39.wav,2.9515664209611714e-05
 20220509_16_26_42.wav,3.710086821229197e-05
 20220509_16_26_46.wav,3.313310662633739e-05
 20220509_16_26_50.wav,3.228410423616879e-05
 20220509_16_26_53.wav,1.672911639616359e-05
 20220509_16_26_56.wav,2.2183910914463922e-05
 20220509_16_26_59.wav,6.109986134106293e-05
 20220509_16_27_02.wav,2.1697263946407475e-05
 20220509_16_27_05.wav,2.5136287149507552e-05
 20220509_16_27_08.wav,5.2624043746618554e-05
 20220509_16_27_13.wav,5.964605225017294e-05
 20220509_16_27_17.wav,4.86888166051358e-05
 20220509_16_27_20.wav,3.162042048643344e-05
 20220509_16_27_23.wav,2.7445421437732875e-05
 20220509_16_27_26.wav,2.4469976779073477e-05
 20220509_16_27_29.wav,4.019626067019999e-05
 20220509_16_27_32.wav,1.4410426047106737e-05
 20220509_16_27_35.wav,1.2200356650282629e-05
 20220509_16_27_38.wav,5.2557108574546874e-05
 20220509_16_27_55.wav,1.4135203855403232e-05
 20220509_16_28_02.wav,1.6128053175634705e-05
 20220509_16_28_05.wav,2.074923577310983e-05
 20220509_16_28_08.wav,4.343668115325272e-05
 20220509_16_28_11.wav,4.531586455414072e-05
 20220509_16_28_14.wav,5.1783648814307526e-05
 20220509_16_28_17.wav,3.4784356103045866e-05
 20220509_16_28_20.wav,3.65644991688896e-05
 20220509_16_28_23.wav,2.5237804948119447e-05
 20220509_16_28_26.wav,2.0980725821573287e-05
 20220509_16_28_29.wav,2.7033494916395284e-05
 20220509_16_28_32.wav,1.5302723113563843e-05
 20220509_16_28_35.wav,2.3612614313606173e-05
 20220509_16_28_38.wav,6.153650610940531e-05
 20220509_16_28_41.wav,2.827626849466469e-05
 20220509_16_28_44.wav,3.4383869206067175e-05
 20220509_16_28_47.wav,4.105545667698607e-05
 20220509_16_28_50.wav,3.095914507866837e-05
 20220509_16_28_53.wav,1.4349215234688016e-05
 20220509_16_28_56.wav,2.0830239009228535e-05
 20220509_16_28_59.wav,5.606504055322147e-05
 20220509_16_29_02.wav,1.9366587366675958e-05
 20220509_16_29_05.wav,1.986761526495684e-05
 20220509_16_29_08.wav,4.4352334953146055e-05
 20220509_16_29_11.wav,3.462885069893673e-05
 20220509_16_29_14.wav,4.677857577917166e-05
 20220509_16_29_17.wav,4.118580909562297e-05
 20220509_16_29_20.wav,3.099438254139386e-05
 20220509_16_29_23.wav,3.1302304705604904e-05
 20220509_16_29_26.wav,2.6094514396390878e-05
 20220509_16_29_29.wav,2.8774811653420326e-05
 20220509_16_29_32.wav,1.4664175068901386e-05
 20220509_16_29_35.wav,1.628515929041896e-05
 20220509_16_29_56.wav,1.2311118553043341e-05
 20220509_16_30_02.wav,1.531479210825637e-05
 20220509_16_30_05.wav,2.0332634449005127e-05
 20220509_16_30_08.wav,4.372897819848731e-05
 20220509_16_30_11.wav,5.991510624880902e-05
 20220509_16_30_14.wav,5.987147596897559e-05
 20220509_16_30_17.wav,3.5348075471119955e-05
 20220509_16_30_20.wav,3.586488674045541e-05
 20220509_16_30_23.wav,1.951706326508429e-05
 20220509_16_30_26.wav,1.708133459032979e-05
 20220509_16_30_29.wav,7.767308488837442e-06
 20220509_16_30_32.wav,1.1941060620301867e-05
 20220509_16_30_35.wav,2.1160569303901866e-05
 20220509_16_30_41.wav,3.1887429940979935e-05
 20220509_16_30_45.wav,3.7468704249477014e-05
 20220509_16_30_48.wav,5.167167182662524e-05
 20220509_16_30_51.wav,1.483816322433995e-05
 20220509_16_30_54.wav,1.3652726920554413e-05
 20220509_16_30_57.wav,1.573713780089747e-05
 20220509_16_31_00.wav,2.7517931812326427e-05
 20220509_16_31_06.wav,1.651296770432964e-05
 20220509_16_31_09.wav,3.6899218684993684e-05
 20220509_16_31_12.wav,1.8780838217935525e-05
 20220509_16_31_15.wav,2.4292901798617095e-05
 20220509_16_31_18.wav,5.808327841805294e-05
 20220509_16_31_24.wav,1.6029978723963723e-05
 20220509_16_31_27.wav,2.548348311393056e-05
 20220509_16_31_31.wav,1.332221108896192e-05
 20220509_16_31_34.wav,1.2611702004505785e-05
 20220509_16_31_37.wav,7.590352470288053e-05
 20220509_16_31_56.wav,9.577461241860874e-06
 20220509_16_32_03.wav,1.3126988051226361e-05
 20220509_16_32_06.wav,1.916912879096344e-05
 20220509_16_32_09.wav,4.328186696511693e-05
 20220509_16_32_12.wav,2.917024357884657e-05
 20220509_16_32_15.wav,1.9489292753860354e-05
 20220509_16_32_18.wav,5.644315024255775e-05
 20220509_16_32_21.wav,2.0691510144388303e-05
 20220509_16_32_24.wav,1.4789747183385769e-05
 20220509_16_32_28.wav,2.3398431949317455e-05
 20220509_16_32_31.wav,1.9009461539098993e-05
 20220509_16_32_34.wav,2.6164470909861848e-05
 20220509_16_32_40.wav,3.1463539926335216e-05
 20220509_16_32_43.wav,3.8505109841935337e-05
 20220509_16_32_47.wav,2.5826459022937343e-05
 20220509_16_32_50.wav,2.2085443561081775e-05
 20220509_16_32_53.wav,1.7479929738328792e-05
 20220509_16_32_56.wav,1.7145381207228638e-05
 20220509_16_33_02.wav,1.4417662896448746e-05
 20220509_16_33_05.wav,2.4676388420630246e-05
 20220509_16_33_08.wav,4.411699410411529e-05
 20220509_16_33_11.wav,3.273170659667812e-05
 20220509_16_33_14.wav,5.752087236032821e-05
 20220509_16_33_17.wav,5.890866304980591e-05
 20220509_16_33_20.wav,1.486885594204068e-05
 20220509_16_33_23.wav,1.3601522368844599e-05
 20220509_16_33_26.wav,1.581111064297147e-05
 20220509_16_33_30.wav,1.4054020539333578e-05
 20220509_16_33_33.wav,9.437642802367916e-06
 20220509_16_33_36.wav,1.1722359886334742e-05
 20220509_16_33_55.wav,1.3845524335920343e-05
 20220509_16_34_02.wav,1.7883690816233866e-05
