Dateiname;Tick_no;start;ende;maxFreq;maxTick;
20220509_17_31_33;1;686;769;390;714;hoch
20220509_17_31_34;2;1588;1707;396;1621;hoch
20220510_00_13_34;1;506;734;406;578;hoch
20220510_00_13_35;2;1443;1569;411;1466;hoch
20220509_17_31_33;1;684;768;390;715;hoch
20220509_17_31_33;2;1587;1718;395;1621;hoch
20220510_00_13_46;1;531;651;390;568;hoch
20220510_00_13_46;2;1439;1565;402;1476;hoch
20220510_00_13_49;1;539;658;399;582;hoch
20220510_00_13_49;2;1462;1590;391;1484;hoch
20220510_07_12_53;1;740;904;374;804;hoch
20220510_07_12_53;2;1647;1780;410;1693;hoch
20220509_21_21_10;1;707;854;396;743;runter
20220509_21_21_10;2;1540;1773;388;1654;runter
20220510_02_18_19;1;649;778;390;696;runter
20220510_02_18_19;2;1541;1692;393;1596;runter
20220510_07_11_17;1;809;925;613;861;runter
20220510_07_11_17;2;1736;1892;667;1765;runter
20220510_09_28_13;1;260;439;602;296;runter
20220510_09_28_13;2;1191;1349;607;1245;runter
20220510_09_28_16;1;244;400;583;296;runter
20220510_09_28_16;2;1181;1335;645;1224;runter
20220510_09_28_19;1;258;386;645;304;runter
20220510_09_28_19;2;1163;1340;1232;607;runter
;;;;;;
